#Epochs / loss	AlexNet	std	VGG16	std	VGG19	std	GoogLeNet	std	ResNet18	std	ResNet34	std	ResNet50	std	ResNet101	std	ResNet152	std
39	0.009708103	0.015550675	0.011866876	0.017627277	0.017766503	0.024627492	0.015545114	0.002493618	0.004866444	0.000353394	0.004866444	0.000353394	0.003018955	0.0004961	0.008674309	0.001966688	0.006035372	0.001080898
40	0.006909726	0.007280323	0.011346949	0.015818444	0.041973311	0.096459307	0.013475144	0.001664172	0.005018634	0.000653769	0.005018634	0.000653769	0.003262595	0.000564979	0.008882053	0.002593379	0.00687488	0.004232246
41	0.007418245	0.007359186	0.014268916	0.019650522	0.025991211	0.066549166	0.01378952	0.001591318	0.004742878	0.00041346	0.004742878	0.00041346	0.003273851	0.000495072	0.00862769	0.003361766	0.005090943	0.001225655
42	0.006797531	0.006105638	0.012113618	0.019682333	0.013973714	0.032648315	0.015326327	0.002851447	0.004553659	0.000806702	0.004553659	0.000806702	0.003340969	0.000807629	0.007613727	0.003091605	0.005984707	0.001860469
43	0.009716528	0.01047114	0.010407231	0.017690173	0.004415915	0.007498968	0.013222569	0.001636841	0.004450191	0.000676873	0.004450191	0.000676873	0.002980202	0.000391218	0.007493876	0.002575373	0.006094511	0.003380167
44	0.024892335	0.055236749	0.008413739	0.013444201	0.003561644	0.006376596	0.012021257	0.002113132	0.004480077	0.000747772	0.004480077	0.000747772	0.002615705	0.000421327	0.007153972	0.001678789	0.005334827	0.001748492
45	0.018553162	0.042022824	0.010663398	0.022231866	0.007420323	0.021033356	0.011597269	0.00132251	0.004076422	0.000596755	0.004076422	0.000596755	0.002750793	0.000444954	0.00730823	0.002704206	0.0056079	0.001512185
46	0.012427921	0.014827947	0.060304657	0.17817662	0.004830567	0.01344672	0.011318549	0.002257597	0.003839369	0.000414988	0.003839369	0.000414988	0.002385659	0.000446586	0.006412494	0.001825489	0.00537815	0.002528426
47	0.010387071	0.009725915	0.01620203	0.046572852	0.003428495	0.0096538	0.010176733	0.001074877	0.004152442	0.000608995	0.004152442	0.000608995	0.002623113	0.000496648	0.007469995	0.005106195	0.005413034	0.002678668
48	0.007966099	0.009191968	0.005203259	0.011080569	0.001936532	0.004963756	0.010711114	0.002319102	0.003566248	0.000435623	0.003566248	0.000435623	0.002367676	0.000405702	0.006128528	0.003610513	0.004902395	0.001616587
49	0.006257856	0.007030633	0.006295746	0.012310805	0.007492885	0.02259786	0.010678962	0.001411828	0.003644771	0.000569941	0.003644771	0.000569941	0.002546754	0.000482963	0.005428911	0.001571333	0.005017706	0.001306021
50	0.005044698	0.004689136	0.009669036	0.020965865	0.002255328	0.006218506	0.010182233	0.00185062	0.003690481	0.000878461	0.003690481	0.000878461	0.002452628	0.000413491	0.005571651	0.00192244	0.004340327	0.000906544
51	0.005101345	0.003542443	0.009723077	0.019715398	0.002060878	0.005637419	0.010105835	0.001550226	0.003605999	0.000787955	0.003605999	0.000787955	0.002225015	0.000260484	0.005713485	0.002932107	0.003708007	0.001214275
52	0.008210536	0.009916062	0.008602255	0.020982865	0.001044218	0.002495136	0.009233659	0.001268627	0.003110287	0.000450827	0.003110287	0.000450827	0.002680102	0.000658515	0.006295323	0.002195984	0.004247283	0.001310626
53	0.005993519	0.006715079	0.004878201	0.010099231	0.002665	0.007712174	0.009256594	0.001206795	0.003427734	0.000532985	0.003427734	0.000532985	0.002153481	0.000354337	0.005530521	0.002789657	0.004012874	0.001025062
54	0.004147198	0.003217719	0.002121577	0.004118059	0.000715104	0.001517394	0.009233711	0.001048975	0.002992436	0.000495539	0.002992436	0.000495539	0.002139736	0.000408899	0.006816483	0.004125761	0.003683212	0.002414011
55	0.004600448	0.004338212	0.001164163	0.002082911	0.000308571	0.000382087	0.008928684	0.001754481	0.003432773	0.000576016	0.003432773	0.000576016	0.002120394	0.000201728	0.005991696	0.002891255	0.003297052	0.000847306
56	0.004194502	0.003952574	0.000671543	0.001245797	0.000288165	0.000253243	0.009008096	0.001392507	0.003250675	0.000598701	0.003250675	0.000598701	0.002101474	0.000377095	0.005309441	0.002012052	0.003887449	0.001906456
57	0.002524534	0.001484598	0.00038164	0.000529275	0.000230774	0.000139595	0.008674427	0.001135712	0.002905825	0.00037944	0.002905825	0.00037944	0.00213899	0.00041527	0.005727177	0.002233285	0.003995216	0.002606256
58	0.006448085	0.004834254	0.000288994	0.000279568	0.00022388	0.000114556	0.007814453	0.001530956	0.003334988	0.000498154	0.003334988	0.000498154	0.002089033	0.000242637	0.004548121	0.001244769	0.003278189	0.000725428
59	0.007981438	0.00708223	0.000245148	0.000228451	0.000163678	4.53595E-05	0.008288086	0.001234404	0.002913181	0.000286196	0.002913181	0.000286196	0.002111213	0.000413457	0.004956632	0.001498576	0.002834486	0.000587243
60	0.00628399	0.006374393	0.00026835	0.000281844	0.000158815	3.9706E-05	0.008453546	0.001784152	0.003091142	0.000454286	0.003091142	0.000454286	0.00213599	0.000658994	0.00401835	0.001314618	0.003247414	0.000563566
61	0.007558379	0.008119761	0.000239619	0.000123079	0.00015817	6.65055E-05	0.00779814	0.001338465	0.002682959	0.000514541	0.002682959	0.000514541	0.002001046	0.000479529	0.00512533	0.003241392	0.002938137	0.000553894
62	0.003908707	0.002255081	0.000295278	0.000477275	0.000173737	5.60751E-05	0.007836939	0.001076324	0.002726601	0.000543159	0.002726601	0.000543159	0.001957614	0.000215154	0.004959668	0.003782395	0.003178296	0.000736174
63	0.004140821	0.005756006	0.000608764	0.001095636	0.000170304	4.90749E-05	0.007391112	0.000758723	0.002593739	0.00048014	0.002593739	0.00048014	0.001693038	0.000358706	0.004041648	0.001903081	0.003290589	0.001754461
64	0.004895583	0.006034593	0.000484711	0.000784068	0.000136227	3.6177E-05	0.007046331	0.001034459	0.002477026	0.00035654	0.002477026	0.00035654	0.001831196	0.000321593	0.004537166	0.001988376	0.003138403	0.001132573
65	0.003550328	0.004273956	0.000253934	0.000213524	0.000138441	5.49928E-05	0.006822625	0.001176425	0.002500369	0.000279677	0.002500369	0.000279677	0.00168137	0.000330027	0.004396768	0.002230715	0.002889022	0.000846114
66	0.00275874	0.002801012	0.000240127	0.000314383	0.000119738	2.20363E-05	0.007371279	0.00101027	0.002479863	0.000465409	0.002479863	0.000465409	0.001893711	0.000296879	0.005583164	0.00720245	0.003224647	0.002375702
67	0.002588454	0.002387338	0.000196521	0.000144326	0.000116071	3.80737E-05	0.007178037	0.00092469	0.002769767	0.000327192	0.002769767	0.000327192	0.001626709	0.000317656	0.004998065	0.004106851	0.002313846	0.000444239
68	0.002748432	0.003145529	0.000140332	6.1323E-05	0.000150682	4.85228E-05	0.006419246	0.000831707	0.002316026	0.000319087	0.002316026	0.000319087	0.001784282	0.000352625	0.0038159	0.001401773	0.002508999	0.000503449
69	0.003588607	0.003379973	0.000309336	0.000503827	0.000114623	3.17105E-05	0.005921117	0.000525241	0.002419699	0.000397626	0.002419699	0.000397626	0.001883383	0.000540276	0.003701861	0.001526081	0.002219991	0.000914842
70	0.004044696	0.005663079	0.000926293	0.002449482	0.000109679	3.33008E-05	0.006111443	0.000694693	0.002170573	0.0003883	0.002170573	0.0003883	0.002164737	0.001703006	0.002889895	0.00101579	0.002495285	0.00089658
71	0.003070974	0.002933979	0.000227008	0.000279311	0.000118974	5.2369E-05	0.006387548	0.000979098	0.002319766	0.000210537	0.002319766	0.000210537	0.002888711	0.004390889	0.003398194	0.001037466	0.00223492	0.000611836
