#Epochs / accuracy	AlexNet	std	VGG16	std	VGG19	std	GoogLeNet	std	ResNet18	std	ResNet34	std	ResNet50	std	ResNet101	std	ResNet152	std
35	88.68055556	3.465270819	85.20833333	3.402856512	85.55555556	4.853388928	80.20833333	2.78259613	83.68055556	2.743812405	85.41666667	3.105649969	79.65277778	2.428901554	78.68055556	4.281468866	77.56944444	4.59535927
36	88.81944444	3.471450532	87.36111111	3.351289087	85.55555556	5.069391595	80.55555556	1.73224879	84.02777778	3.018149262	85.27777778	3.270367225	79.44444444	2.539975319	78.05555556	3.194108946	76.73611111	4.419417382
37	87.56944444	3.008368814	84.65277778	6.704576498	85.34722222	5.273003851	80.27777778	2.049624409	84.02777778	2.816093764	85.76388889	3.004804395	79.02777778	4.07302175	78.81944444	3.559851041	77.43055556	4.945801069
38	88.19444444	2.360657182	86.45833333	4.30891446	86.25	4.253216325	79.72222222	2.573507798	83.47222222	3.014596407	85.55555556	3.319157098	78.61111111	2.510266984	78.95833333	4.268935265	76.52777778	4.059844679
39	88.05555556	3.237432174	86.59722222	3.915391396	86.18055556	5.076257472	80.34722222	2.450863136	83.95833333	2.805609033	85.48611111	2.899530791	79.58333333	3.177288877	78.81944444	3.721744257	76.45833333	5.076257472
40	88.26388889	2.805609033	87.15277778	3.022584458	83.81944444	8.397706612	80.625	2.459592863	83.81944444	3.071821185	85.48611111	3.130567742	79.23611111	4.002019595	78.54166667	4.298954518	76.94444444	4.67340416
41	87.5	3.07094888	86.04166667	4.311400851	86.11111111	4.55965639	80.48611111	2.278652723	84.16666667	3.302973886	85.48611111	2.917952392	80.20833333	2.127867629	78.95833333	4.512998488	77.5	5.073617849
42	88.75	3.014596407	86.25	4.07302175	85.90277778	4.943633759	80.69444444	2.754532367	83.88888889	3.204158606	85.55555556	2.887493728	80	1.846055744	79.09722222	3.851924189	77.84722222	5.353681765
43	87.08333333	3.528859074	85.69444444	4.117508369	87.5	2.835057573	80.55555556	2.493131855	84.16666667	2.675589496	85.69444444	3.662970453	79.79166667	1.89334306	78.88888889	3.778186252	77.63888889	5.19468376
44	87.91666667	3.559098351	87.91666667	2.296221624	87.36111111	3.18739157	80.13888889	2.781633127	83.54166667	2.892129296	86.04166667	3.393395354	79.65277778	2.338994089	78.88888889	4.455041379	77.5	4.538454049
45	88.125	3.562860215	86.04166667	5.221947228	87.70833333	3.224994816	80.34722222	2.640309884	83.81944444	3.10651253	85.76388889	3.589829264	79.93055556	2.02992234	79.72222222	4.278338908	78.125	4.802892111
46	87.22222222	4.207617692	85.69444444	6.255998493	86.94444444	3.657114381	80.34722222	2.836002434	83.95833333	3.198300142	85.83333333	3.341681932	79.23611111	2.107625859	79.16666667	4.404235553	77.91666667	5.989960737
47	88.40277778	5.478340723	87.63888889	2.655487111	87.36111111	3.06745718	80.625	3.147637486	83.47222222	3.13655272	85.97222222	3.729654456	79.86111111	1.991278997	79.09722222	4.726418796	78.19444444	5.270462767
48	88.88888889	3.703703704	87.91666667	2.602494319	87.43055556	3.181502231	80.20833333	2.624024085	83.81944444	3.224994816	86.11111111	3.035851169	79.44444444	2.176418384	79.58333333	3.544010965	77.36111111	5.784258592
49	87.98611111	3.887924263	87.70833333	2.680591537	87.08333333	3.293225786	80.34722222	2.680591537	83.81944444	2.965313015	85.90277778	3.449773108	80.13888889	2.02331235	79.375	4.049933741	77.63888889	4.615719845
50	88.88888889	3.000342916	87.36111111	2.793167246	87.77777778	3.14337874	80.90277778	2.433309727	83.81944444	2.928949738	85.90277778	3.241567355	79.72222222	1.958721833	78.68055556	3.208336674	77.08333333	4.594776213
51	89.51388889	3.313501964	87.29166667	3.258055596	87.56944444	3.424830906	80	3.237432174	83.47222222	2.887493728	85.90277778	2.983328448	79.58333333	2.47587814	79.02777778	3.153590068	77.63888889	5.163645738
52	88.26388889	2.56621001	88.19444444	2.01800877	87.15277778	3.544766859	80.41666667	2.735010276	83.54166667	2.94718746	86.25	3.049938721	80	2.091035146	79.02777778	3.568120161	76.80555556	5.361183074
53	88.95833333	3.09614594	88.19444444	2.982430261	87.91666667	2.819896728	80.20833333	2.41118827	83.47222222	3.014596407	85.69444444	2.968022301	78.125	5.178670676	79.65277778	3.860261697	77.08333333	4.721314364
54	89.23611111	2.724213494	88.33333333	2.166547955	87.63888889	2.887493728	80.34722222	3.140820721	83.61111111	3.276914513	85.625	2.873542154	79.86111111	2.471545892	78.47222222	4.69856091	77.5	5.020533967
55	87.84722222	3.49912418	88.61111111	2.24906626	87.77777778	2.762302572	80.55555556	3.257233167	83.61111111	3.574122049	85.625	3.290784249	80	2.960792029	79.16666667	4.075652051	77.22222222	4.820153735
56	89.30555556	2.387740177	88.61111111	2.410076868	87.77777778	2.703481726	80.13888889	3.373599389	83.61111111	3.341681932	85.83333333	3.021697939	79.65277778	2.221498725	78.75	4.430920783	77.29166667	4.59535927
57	89.51388889	2.747715412	88.88888889	2.360657182	87.77777778	2.742835786	80.69444444	2.28686834	83.40277778	2.648415229	85.97222222	3.049938721	79.79166667	2.628104996	78.95833333	4.331240592	77.70833333	5.472468974
58	87.91666667	2.454140422	89.02777778	2.423380061	88.05555556	2.675589496	80.27777778	2.894907074	83.125	2.797959096	86.04166667	2.880991401	80.625	2.02992234	79.02777778	3.71525975	77.84722222	5.128764635
