#Training AccEpoch	Alex	VGG16	VGG19	GoogLe	Res18	Res34	Res50	Res101	Res152
52	99.96527778	100	100	100	100	100	100	100	99.98263889
53	99.98263889	100	100	100	100	100	100	100	100
54	99.98263889	100	100	100	100	100	100	99.98263889	100
55	100	100	100	100	100	100	100	99.98263889	100
56	100	100	100	100	100	100	100	100	99.96527778
57	100	100	100	100	100	100	99.98263889	100	100
58	99.98263889	100	100	100	100	100	100	100	100
59	99.96527778	100	100	100	100	100	100	100	100
60	99.93055556	100	100	100	100	100	100	100	100
61	100	100	100	100	100	100	100	100	100
62	100	100	100	100	100	100	100	99.98263889	100
63	99.94791667	100	100	100	100	100	100	100	100
64	100	99.96527778	100	99.98263889	100	100	99.98263889	100	99.96527778
65	100	99.91319444	100	100	100	100	100	99.96527778	100
66	100	100	100	100	100	100	100	100	100
67	100	99.91319444	100	100	100	100	100	99.98263889	100
68	99.98263889	100	100	100	100	100	100	100	100
69	100	100	100	100	100	100	100	100	99.98263889
70	100	99.88425926	100	100	100	100	100	99.98263889	100
71	99.98263889	99.82638889	100	100	100	100	100	99.96527778	100
72	100	99.88425926	100	100	100	100	100	100	100
73	100	100	100	100	100	100	100	99.94791667	100
74	99.94791667	99.86979167	99.98263889	100	100	100	100	99.98263889	99.98263889
75	99.98263889	99.95659722	99.60069444	100	100	100	100	100	100
76	100	99.77678571	99.87847222	100	100	100	100	99.98263889	100
77	99.94791667	99.91319444	99.94791667	100	100	100	100	100	100
78	99.96141975	100	100	100	100	100	100	100	100
79	100	100	100	100	100	100	100	100	100
80	100	100	100	100	100	100	100	100	100
81	100	100	100	100	100	100	100	99.98263889	100
82	100	100	100	100	100	100	100	100	100
83	99.98263889	100	100	100	100	100	100	100	100
84	99.98263889	100	100	100	100	100	100	100	100
85	100	100	100	100	100	100	100	99.96527778	100
86	100	100	100	100	100	100	100	100	100
87	100	100	100	100	100	100	100	99.94791667	100
88	100	100	100	100	100	100	100	100	100
89	100	100	100	100	100	100	100	100	100
90	99.98263889	100	100	100	100	100	100	100	99.98263889
